sweep_name,component,swept_value,coupled_negative_component,coupled_negative_value,run_id,status,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
C1_local,C1,2e-09,,,0,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0000.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\plots\C1_local_0000.png,,
C1_local,C1,2.724668971886202e-09,,,1,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0001.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\plots\C1_local_0001.png,,
C1_local,C1,3.711910503179692e-09,,,2,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0002.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\plots\C1_local_0002.png,,
C1_local,C1,5.056863687216103e-09,,,3,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0003.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\plots\C1_local_0003.png,,
C1_local,C1,6.889139791807855e-09,,,4,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0004.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\plots\C1_local_0004.png,,
C1_local,C1,9.385312716862717e-09,,,5,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0005.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\plots\C1_local_0005.png,,
C1_local,C1,1.2785935175542364e-08,,,6,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0006.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\plots\C1_local_0006.png,,
C1_local,C1,1.741872042467432e-08,,,7,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0007.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\plots\C1_local_0007.png,,
C1_local,C1,2.3730123535535235e-08,,,8,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0008.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\plots\C1_local_0008.png,,
C1_local,C1,3.232836564814961e-08,,,9,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0009.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0009.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\plots\C1_local_0009.png,,
C1_local,C1,4.404204739665241e-08,,,10,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0010.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0010.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\plots\C1_local_0010.png,,
C1_local,C1,6.000000000000003e-08,,,11,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0011.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\raw_runs\C1_local_0011.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\01_tonic_spiking_dc_current_assumption\03_C1_local\plots\C1_local_0011.png,,
