sweep_name,component,swept_value,coupled_negative_component,coupled_negative_value,run_id,status,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
RL2_local,R2,5000.0,,,0,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0000.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\plots\RL2_local_0000.png,,
RL2_local,R2,5500.0,,,1,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0001.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\plots\RL2_local_0001.png,,
RL2_local,R2,6000.0,,,2,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0002.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\plots\RL2_local_0002.png,,
RL2_local,R2,6500.0,,,3,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0003.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\plots\RL2_local_0003.png,,
RL2_local,R2,7000.0,,,4,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0004.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\plots\RL2_local_0004.png,,
RL2_local,R2,7500.0,,,5,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0005.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\plots\RL2_local_0005.png,,
RL2_local,R2,8000.0,,,6,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0006.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\plots\RL2_local_0006.png,,
RL2_local,R2,8500.0,,,7,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0007.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\plots\RL2_local_0007.png,,
RL2_local,R2,9000.0,,,8,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0008.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\plots\RL2_local_0008.png,,
RL2_local,R2,9500.0,,,9,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0009.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\raw_runs\RL2_local_0009.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\01_RL2_local\plots\RL2_local_0009.png,,
