sweep_name,component,swept_value,coupled_negative_component,coupled_negative_value,run_id,status,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
C2_local,C2,8.000000000000003e-10,,,0,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0000.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\plots\C2_local_0000.png,,
C2_local,C2,1.0719522552822709e-09,,,1,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0001.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\plots\C2_local_0001.png,,
C2_local,C2,1.4363520470059329e-09,,,2,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0002.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\plots\C2_local_0002.png,,
C2_local,C2,1.924626020209144e-09,,,3,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0003.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\plots\C2_local_0003.png,,
C2_local,C2,2.5788840036726655e-09,,,4,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0004.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\plots\C2_local_0004.png,,
C2_local,C2,3.45555065481037e-09,,,5,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0005.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\plots\C2_local_0005.png,,
C2_local,C2,4.6302316470826284e-09,,,6,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0006.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\plots\C2_local_0006.png,,
C2_local,C2,6.2042340707119555e-09,,,7,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0007.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\plots\C2_local_0007.png,,
C2_local,C2,8.313303380498478e-09,,,8,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0008.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\plots\C2_local_0008.png,,
C2_local,C2,1.1139330384463832e-08,,,9,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0009.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\raw_runs\C2_local_0009.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_profiles\02_accommodation_ramp_current_assumption\02_C2_local\plots\C2_local_0009.png,,
