run_id,status,RL1_value,C1_value,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
0,ok,4500.0,4.999999999999999e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0000.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0000.png,,
1,ok,4500.0,5.8611193690212385e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0001.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0001.png,,
2,ok,4500.0,6.870544051583186e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0002.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0002.png,,
3,ok,4500.0,8.053815763289574e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0003.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0003.png,,
4,ok,4500.0,9.44087511294902e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0004.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0004.png,,
5,ok,4500.0,1.1066819197003217e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0005.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0005.png,,
6,ok,4500.0,1.2972789669802326e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0006.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0006.png,,
7,ok,4500.0,1.5207013760783413e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0007.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0007.png,,
8,ok,4500.0,1.7826024579660037e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0008.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0008.png,,
9,ok,4500.0,2.0896091587298827e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0009.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0009.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0009.png,,
10,ok,4500.0,2.4494897427831788e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0010.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0010.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0010.png,,
11,ok,4500.0,2.8713503551290684e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0011.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0011.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0011.png,,
