run_id,status,C1_F,C2_F,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
0,ok,1e-09,1e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0000.log,plots\c1c2_0000.png,,
1,ok,1e-09,2e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0001.log,plots\c1c2_0001.png,,
2,ok,1e-09,4e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0002.log,plots\c1c2_0002.png,,
3,ok,1e-09,8e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0003.log,plots\c1c2_0003.png,,
4,ok,1e-09,1.2e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0004.log,plots\c1c2_0004.png,,
5,ok,1e-09,1.6e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0005.log,plots\c1c2_0005.png,,
6,ok,1e-09,2e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0006.log,plots\c1c2_0006.png,,
7,ok,2e-09,1e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0007.log,plots\c1c2_0007.png,,
8,ok,2e-09,2e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0008.log,plots\c1c2_0008.png,,
9,ok,2e-09,4e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0009.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0009.log,plots\c1c2_0009.png,,
10,ok,2e-09,8e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0010.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0010.log,plots\c1c2_0010.png,,
11,ok,2e-09,1.2e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0011.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0011.log,plots\c1c2_0011.png,,
