sweep_name,component,swept_value,coupled_negative_component,coupled_negative_value,run_id,status,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
RL1,R1,2000.0,,,0,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0000.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0000.png,,
RL1,R1,2250.0,,,1,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0001.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0001.png,,
RL1,R1,2500.0,,,2,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0002.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0002.png,,
RL1,R1,2750.0,,,3,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0003.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0003.png,,
RL1,R1,3000.0,,,4,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0004.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0004.png,,
RL1,R1,3250.0,,,5,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0005.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0005.png,,
RL1,R1,3500.0,,,6,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0006.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0006.png,,
RL1,R1,3750.0,,,7,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0007.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0007.png,,
RL1,R1,4000.0,,,8,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0008.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0008.png,,
RL1,R1,4250.0,,,9,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0009.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0009.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0009.png,,
RL1,R1,4500.0,,,10,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0010.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0010.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0010.png,,
RL1,R1,4750.0,,,11,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0011.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0011.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0011.png,,
RL1,R1,5000.0,,,12,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0012.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0012.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0012.png,,
RL1,R1,5250.0,,,13,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0013.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0013.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0013.png,,
RL1,R1,5500.0,,,14,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0014.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0014.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0014.png,,
RL1,R1,5750.0,,,15,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0015.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0015.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0015.png,,
RL1,R1,6000.0,,,16,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0016.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0016.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0016.png,,
RL1,R1,6250.0,,,17,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0017.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0017.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0017.png,,
RL1,R1,6500.0,,,18,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0018.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0018.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0018.png,,
RL1,R1,6750.0,,,19,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0019.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0019.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0019.png,,
RL1,R1,7000.0,,,20,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0020.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0020.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0020.png,,
RL1,R1,7250.0,,,21,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0021.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0021.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0021.png,,
RL1,R1,7500.0,,,22,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0022.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0022.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0022.png,,
RL1,R1,7750.0,,,23,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0023.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0023.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0023.png,,
RL1,R1,8000.0,,,24,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0024.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0024.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0024.png,,
RL1,R1,8250.0,,,25,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0025.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0025.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0025.png,,
RL1,R1,8500.0,,,26,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0026.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0026.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0026.png,,
RL1,R1,8750.0,,,27,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0027.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0027.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0027.png,,
RL1,R1,9000.0,,,28,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0028.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0028.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0028.png,,
RL1,R1,9250.0,,,29,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0029.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0029.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0029.png,,
RL1,R1,9500.0,,,30,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0030.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0030.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0030.png,,
RL1,R1,9750.0,,,31,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0031.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0031.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0031.png,,
RL1,R1,10000.0,,,32,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0032.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0032.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0032.png,,
RL1,R1,10250.0,,,33,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0033.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0033.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0033.png,,
RL1,R1,10500.0,,,34,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0034.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0034.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0034.png,,
RL1,R1,10750.0,,,35,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0035.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0035.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0035.png,,
RL1,R1,11000.0,,,36,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0036.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0036.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0036.png,,
RL1,R1,11250.0,,,37,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0037.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\raw_runs\RL1_0037.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\01_RL1\plots\RL1_0037.png,,
