sweep_name,component,swept_value,coupled_negative_component,coupled_negative_value,run_id,status,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
C2,C2,4.999999999999999e-10,,,0,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0000.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0000.png,,
C2,C2,5.830724263090537e-10,,,1,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0001.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0001.png,,
C2,C2,6.799469086438511e-10,,,2,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0002.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0002.png,,
C2,C2,7.929165875686216e-10,,,3,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0003.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0003.png,,
C2,C2,9.246555971486631e-10,,,4,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0004.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0004.png,,
C2,C2,1.0782823650594315e-09,,,5,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0005.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0005.png,,
C2,C2,1.2574334296829353e-09,,,6,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0006.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0006.png,,
C2,C2,1.4663495215346882e-09,,,7,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0007.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0007.png,,
C2,C2,1.7099759466766946e-09,,,8,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0008.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0008.png,,
C2,C2,1.994079648317803e-09,,,9,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0009.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0009.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0009.png,,
C2,C2,2.325385717596332e-09,,,10,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0010.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0010.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0010.png,,
C2,C2,2.7117365849266162e-09,,,11,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0011.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0011.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0011.png,,
C2,C2,3.1622776601683795e-09,,,12,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0012.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0012.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0012.png,,
C2,C2,3.687673815954589e-09,,,13,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0013.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0013.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0013.png,,
C2,C2,4.300361838610001e-09,,,14,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0014.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0014.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0014.png,,
C2,C2,5.014844822490394e-09,,,15,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0015.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0015.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0015.png,,
C2,C2,5.848035476425741e-09,,,16,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0016.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0016.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0016.png,,
C2,C2,6.819656468761932e-09,,,17,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0017.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0017.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0017.png,,
C2,C2,7.952707287670507e-09,,,18,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0018.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0018.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0018.png,,
C2,C2,9.274008667895475e-09,,,19,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0019.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\raw_runs\C2_0019.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\04_C2\plots\C2_0019.png,,
