sweep_name,component,swept_value,coupled_negative_component,coupled_negative_value,run_id,status,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
ENa_EK_Coupled,V2|V1,0.5,V1,-0.5,0,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0000.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\plots\ENa_EK_Coupled_0000.png,,
ENa_EK_Coupled,V2|V1,0.6,V1,-0.6,1,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0001.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\plots\ENa_EK_Coupled_0001.png,,
ENa_EK_Coupled,V2|V1,0.7,V1,-0.7,2,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0002.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\plots\ENa_EK_Coupled_0002.png,,
ENa_EK_Coupled,V2|V1,0.8,V1,-0.8,3,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0003.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\plots\ENa_EK_Coupled_0003.png,,
ENa_EK_Coupled,V2|V1,0.9,V1,-0.9,4,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0004.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\plots\ENa_EK_Coupled_0004.png,,
ENa_EK_Coupled,V2|V1,1.0,V1,-1.0,5,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0005.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\plots\ENa_EK_Coupled_0005.png,,
ENa_EK_Coupled,V2|V1,1.1,V1,-1.1,6,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0006.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\plots\ENa_EK_Coupled_0006.png,,
ENa_EK_Coupled,V2|V1,1.2000000000000002,V1,-1.2000000000000002,7,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0007.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\plots\ENa_EK_Coupled_0007.png,,
ENa_EK_Coupled,V2|V1,1.3,V1,-1.3,8,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0008.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\plots\ENa_EK_Coupled_0008.png,,
ENa_EK_Coupled,V2|V1,1.4,V1,-1.4,9,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0009.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\raw_runs\ENa_EK_Coupled_0009.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa_EK_Coupled\plots\ENa_EK_Coupled_0009.png,,
