sweep_name,component,swept_value,coupled_negative_component,coupled_negative_value,run_id,status,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
Re2,Re2,150.0,,,0,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0000.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\plots\Re2_0000.png,,
Re2,Re2,160.0,,,1,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0001.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\plots\Re2_0001.png,,
Re2,Re2,170.0,,,2,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0002.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\plots\Re2_0002.png,,
Re2,Re2,180.0,,,3,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0003.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\plots\Re2_0003.png,,
Re2,Re2,190.0,,,4,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0004.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\plots\Re2_0004.png,,
Re2,Re2,200.0,,,5,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0005.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\plots\Re2_0005.png,,
Re2,Re2,210.0,,,6,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0006.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\plots\Re2_0006.png,,
Re2,Re2,220.0,,,7,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0007.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\plots\Re2_0007.png,,
Re2,Re2,230.0,,,8,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0008.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\plots\Re2_0008.png,,
Re2,Re2,240.0,,,9,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0009.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\raw_runs\Re2_0009.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\07_Re2\plots\Re2_0009.png,,
